team_id,team_name
1,Real Madrid              
2,Liverpool                
3,Villarreal               
4,Man. City                
5,Benfica                  
6,Atlético                 
7,Bayern                   
8,Chelsea                  
9,LOSC                     
10,Inter                    
11,Salzburg                 
12,Ajax                     
13,Paris                    
14,Sporting CP              
15,Juventus                 
16,Man. United              
17,Club Brugge              
18,Sheriff                  
19,Wolfsburg                
20,Dynamo Kyiv              
21,Sevilla                  
22,Shakhtar Donetsk         
23,Zenit                    
24,Dortmund                 
25,Atalanta                 
26,Porto                    
27,Barcelona                
28,Young Boys               
29,Leipzig                  
30,Malmö                    
31,Milan                    
32,Beşiktaş                 
